"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"149","wissen","barroso","netze","monsanto","israels","stellen","insolvenz","einkommen","morgen","waehrungen","koelner","lage","sechs","vizekanzler"
"150","kleine","viktor","erderwaermung","neun","handelskrieg","erfolg","real","wolfgang","bild","dividenden","dfb","erwartet","ifw","abstimmung"
"151","taetig","orbán","ziele","group","yuan","entwicklung","hoehe","vereinbart","kollegen","schwankungen","hertha","stabilitaet","handelsblatt","demokratie"
"152","service","moskauer","waermepumpe","ebitda","zoellen","fuehren","anteil","geben","klingt","waehrung","deutschen","prozentpunkt","gewachsen","kanzlers"
"153","gefragt","brexits","anteil","werke","kalten","sozial","versicherung","betrieben","schaut","rechnen","professoren","kreditvergabe","anteil","vorsitzende"
"154","potenzial","sunak","iea","margen","unterstuetzung","verhalten","wohnraum","arbeitslose","herum","capital","buchungen","japanischen","knapp","hessen"
"155","roland","vereinigten","rohoel","china","vietnam","bedeutung","rating","arbeitslosengeld","dachte","unternehmensanleihen","vertrag","internationalen","gewerbe","sigmar"
"156","anwendungen","euaustritt","klimaneutralitaet","kauf","demokratischen","loesungen","staedten","entlastung","erlebt","gestern","arena","japanische","ausfuhren","vorsitzenden"
"157","aufsichtsrat","schweiz","meter","geplant","handel","vielmehr","kreditvergabe","gefordert","studiert","fielen","ausbildung","prozentpunkte","positive","innenminister"
"158","roboter","europaparlament","oekostrom","sank","shanghai","veraenderung","niedrigen","ausgaben","gehoert","finanzmaerkten","sonntag","jeanclaude","optimistisch","niederlage"
"159","lieferanten","minister","stadtwerke","lag","amerikanern","parteien","frankfurter","zahl","faehrt","nachrichten","oktober","anstieg","laufende","beck"
"160","zukunft","josé","menge","zweiten","ukrainischen","gesellschaften","verbraucherschuetzer","einigung","jugend","erwartungen","vereins","null","hierzulande","gesagt"
"161","meist","medwedjew","projekte","mitarbeitern","korruption","politischer","deutlich","streit","kennen","hoeher","stiftung","zins","laendern","koehler"
"162","beschaeftigte","vertrag","herstellung","ende","volk","chance","anlage","praxis","wohnung","schwellenlaender","oesterreich","fiskalpolitik","wachstums","christdemokraten"
"163","schneller","italienischen","strompreis","marge","reich","eindruck","erwirtschaften","anfrage","morgens","rally","woche","ezbchef","statistischen","neuwahlen"
"164","gmbh","polnische","saudiarabien","trotz","hauptstadt","herausforderung","verkaeufer","vorsitzende","fahren","positive","art","tsipras","hoehere","aussenminister"
"165","produkten","françois","fass","groesste","kreml","oeffentlichen","neugeschaeft","erhoehung","geschrieben","kaufen","berichtet","teuerung","zurueckgegangen","rechts"
"166","marketing","spaniens","e","firma","demokratische","veraendern","vergangenen","buerokratie","gelernt","positiv","fifa","bundesbankpraesident","arbeitslosenquote","agenda"
"167","bitkom","juni","verbraucht","holding","indiens","erkenntnis","meist","einnahmen","stunde","unten","studieren","christine","unten","reihen"
"168","chatgpt","waehrung","russland","boeing","spannungen","westen","investmentfonds","pflicht","abends","gefallen","buergermeister","strukturreformen","betriebe","koalitionsvertrag"
"169","brauchen","amt","kraftwerken","fuenf","amerikanischer","richtige","equity","beschluss","erste","entwicklung","staedte","chefoekonom","belebung","nrw"
"170","veraendern","waehler","fukushima","erklaerte","staats","mittelschicht","vermoegensverwaltung","arbeitgebern","sah","merrill","passagiere","spielraum","weltkonjunktur","cducsu"
"171","ideen","mexiko","pipeline","kapitalerhoehung","kanada","besteht","zahlen","entscheidung","geschichten","yen","mitarbeiter","schuldenschnitt","handel","reden"
"172","grosse","laender","mill","gewinne","transatlantischen","jahrzehnte","anlegen","kompromiss","land","bundesanleihe","werder","land","vorquartal","spahn"
"173","chancen","politisch","windenergie","general","kiew","perspektive","aufsicht","steuerreform","buecher","gemeinschaftswaehrung","teilnehmer","lockerung","schrumpfen","bayerns"
"174","hersteller","westen","speicher","beteiligung","kommunistischen","denke","postbank","heil","verlag","investmentbank","winter","alan","gestiegenen","konservative"
"175","usa","parlamentswahl","europa","angaben","kontrolle","krise","suisse","verpflichtet","hand","niveau","uhr","risiko","liegt","stimme"
"176","betrieb","spanische","ziel","plus","wirtschaft","sprache","schweiz","vorgesehen","hoeren","kursgewinnverhaeltnis","plaetze","verhindern","deutschlands","frau"
"177","suchen","zollunion","zehn","strategie","handelspartner","armut","risikovorsorge","zustaendigen","wollten","quartalszahlen","mio","politik","jahren","grosse"
"178","chance","bulgarien","energiekonzerne","dritten","anschlaege","fluechtlinge","summe","bundesverfassungsgericht","lernen","investments","angebot","volkswirtschaft","stiegen","bayerischen"
"179","personal","streit","china","tesla","fuehrer","erstens","pleite","faellen","kamen","korrektur","amoc","pleite","wachstumsraten","anhaenger"
"180","app","montag","rohstoffen","konkurrent","meer","entsteht","papiere","abschaffung","spass","feinunze","region","bruttoinlandsprodukts","april","republik"
